,X,Y,Z
177,7541561.89,5751106.22,127.51
178,7541562.01,5751107.17,133.88
179,7541561.81,5751105.83,128.52
180,7541561.86,5751105.85,128.12
181,7541561.9,5751105.89,127.95
182,7541561.94,5751105.94,127.96
183,7541561.96,5751106.02,128.29
184,7541562.01,5751106.04,127.85
185,7541562.21,5751107.07,133.86
186,7541561.92,5751105.67,129.22
187,7541561.96,5751105.72,129.16
188,7541562.0,5751105.76,129.09
189,7541562.04,5751105.77,128.58
190,7541562.07,5751105.85,128.99
191,7541562.11,5751105.88,128.66
192,7541562.4,5751106.95,133.88
193,7541561.78,5751105.53,132.8
194,7541561.8,5751105.59,132.96
195,7541561.84,5751105.62,132.84
196,7541561.94,5751105.74,132.61
197,7541562.0,5751105.51,129.92
198,7541562.04,5751105.55,129.81
199,7541562.07,5751105.59,129.72
200,7541562.11,5751105.64,129.73
201,7541562.14,5751105.69,129.73
202,7541562.18,5751105.72,129.46
203,7541562.57,5751106.84,133.89
204,7541562.6,5751106.88,133.87
205,7541560.51,5751104.15,133.58
206,7541560.5,5751104.09,133.64
207,7541560.7,5751104.15,133.43
208,7541560.69,5751103.99,133.68
209,7541560.69,5751103.94,133.67
210,7541560.69,5751103.88,133.67
211,7541560.89,5751104.15,133.29
212,7541560.88,5751103.87,133.68
213,7541560.88,5751103.82,133.7
214,7541560.89,5751103.77,133.68
215,7541561.1,5751104.13,133.16
216,7541561.08,5751103.75,133.69
217,7541561.08,5751103.65,133.72
218,7541561.08,5751103.6,133.72
219,7541561.27,5751103.78,133.72
220,7541561.28,5751103.58,133.72
221,7541561.27,5751103.83,133.68
222,7541561.46,5751104.1,133.47
223,7541561.46,5751104.05,133.48
224,7541561.49,5751104.04,132.93
225,7541561.45,5751103.94,133.73
226,7541561.46,5751103.89,133.72
227,7541561.46,5751103.74,133.73
228,7541561.47,5751103.65,133.64
229,7541561.66,5751104.28,133.29
230,7541561.64,5751104.05,133.73
231,7541561.66,5751104.02,133.44
232,7541561.69,5751103.95,132.85
233,7541561.65,5751103.85,133.73
234,7541561.65,5751103.81,133.66
235,7541561.66,5751103.76,133.49
236,7541561.86,5751104.53,133.09
237,7541561.86,5751104.48,133.11
238,7541561.86,5751104.37,133.16
239,7541561.86,5751104.32,133.17
240,7541561.84,5751104.18,133.74
241,7541561.84,5751104.13,133.73
242,7541561.84,5751104.03,133.74
243,7541561.84,5751103.98,133.74
244,7541561.86,5751103.95,133.33
245,7541561.87,5751103.85,133.35
246,7541562.05,5751104.47,133.06
247,7541562.04,5751104.41,133.28
248,7541562.03,5751104.13,133.73
249,7541562.06,5751103.96,133.2
250,7541562.09,5751103.83,132.79
251,7541561.99,5751104.8,134.01
252,7541562.19,5751104.99,133.73
253,7541562.19,5751104.94,133.72
254,7541562.27,5751105.07,132.2
255,7541562.24,5751104.97,132.71
256,7541562.26,5751104.89,132.47
257,7541562.26,5751104.84,132.47
258,7541562.19,5751104.61,134.05
259,7541562.21,5751104.29,133.75
260,7541562.26,5751104.08,133.04
261,7541562.26,5751104.03,133.06
262,7541562.39,5751104.91,133.75
263,7541562.41,5751104.85,133.33
264,7541562.4,5751104.78,133.49
265,7541562.41,5751104.74,133.34
266,7541562.46,5751104.66,132.46
267,7541562.46,5751104.61,132.46
268,7541562.4,5751104.46,133.77
269,7541562.46,5751104.55,132.48
270,7541562.4,5751104.41,133.76
271,7541562.45,5751104.17,132.91
272,7541562.47,5751103.71,132.79
273,7541562.48,5751103.66,132.74
274,7541562.61,5751105.0,133.15
275,7541562.61,5751104.94,133.28
276,7541562.6,5751104.88,133.39
277,7541562.59,5751104.8,133.73
278,7541562.57,5751104.73,134.07
279,7541562.58,5751104.63,134.06
280,7541562.59,5751104.6,133.78
281,7541562.6,5751104.57,133.54
282,7541562.62,5751104.44,133.25
283,7541562.66,5751104.38,132.48
284,7541562.66,5751104.32,132.66
285,7541562.65,5751104.26,132.77
286,7541562.77,5751104.92,133.78
287,7541562.81,5751104.88,133.06
288,7541562.81,5751104.82,133.08
289,7541562.78,5751104.72,133.78
290,7541562.8,5751104.65,133.35
291,7541562.8,5751104.6,133.42
292,7541562.82,5751104.52,133.1
293,7541562.83,5751104.48,132.93
294,7541562.84,5751104.44,132.74
295,7541562.84,5751104.39,132.65
296,7541562.86,5751104.36,132.38
297,7541562.89,5751104.34,131.83
298,7541562.89,5751104.28,131.86
299,7541562.89,5751104.23,131.84
300,7541562.86,5751104.14,132.47
301,7541562.86,5751104.09,132.47
302,7541562.86,5751104.04,132.47
303,7541562.87,5751103.99,132.47
304,7541562.98,5751104.05,130.15
305,7541563.06,5751103.72,132.48
306,7541563.22,5751103.79,129.35
307,7541563.05,5751103.6,132.8
308,7541563.23,5751103.73,129.17
309,7541563.26,5751103.69,128.68
310,7541563.29,5751103.66,128.04
311,7541563.02,5751105.05,132.63
312,7541563.02,5751104.99,132.68
313,7541563.02,5751104.72,132.87
314,7541563.02,5751104.67,132.84
315,7541563.03,5751104.52,132.77
316,7541563.1,5751104.28,131.55
317,7541563.11,5751104.24,131.34
318,7541563.12,5751104.2,131.14
319,7541563.13,5751104.16,130.96
320,7541563.14,5751104.12,130.68
321,7541563.17,5751104.08,130.18
322,7541563.18,5751104.03,130.07
323,7541563.06,5751103.87,132.48
324,7541563.06,5751103.82,132.48
325,7541563.06,5751103.77,132.48
326,7541563.42,5751103.91,129.31
327,7541563.43,5751103.86,129.11
328,7541563.44,5751103.81,128.92
329,7541563.26,5751103.62,132.57
330,7541563.47,5751103.78,128.4
331,7541563.25,5751103.56,132.82
332,7541563.25,5751103.51,132.81
333,7541563.27,5751103.47,132.51
334,7541563.51,5751103.62,127.72
335,7541563.51,5751103.56,127.75
336,7541563.54,5751103.52,127.2
337,7541563.54,5751103.46,127.25
338,7541563.54,5751103.4,127.18
339,7541563.55,5751103.35,126.94
340,7541563.58,5751103.3,126.55
341,7541563.62,5751103.25,125.75
342,7541563.2,5751104.87,133.07
343,7541563.2,5751104.83,133.02
344,7541563.21,5751104.73,132.97
345,7541563.73,5751103.58,127.35
346,7541563.75,5751103.53,127.13
347,7541563.76,5751103.48,126.9
348,7541563.78,5751103.42,126.6
349,7541563.81,5751103.38,126.01
350,7541563.81,5751103.31,125.99
351,7541563.81,5751103.25,125.95
352,7541563.84,5751103.2,125.41
353,7541563.84,5751103.14,125.42
354,7541563.88,5751103.09,124.85
355,7541563.87,5751103.02,124.99
356,7541563.88,5751102.96,124.74
357,7541563.9,5751102.9,124.39
358,7541563.4,5751104.93,133.17
359,7541563.4,5751104.88,133.14
360,7541564.04,5751103.17,125.08
361,7541564.06,5751103.11,124.84
